trade_date,Open,High,Low,Close,Volume
2024-05-16,21.74,21.87,21.54,21.65,"27,416,680"
2024-05-15,21.73,21.81,21.19,21.67,"39,424,031"
2024-05-14,20.95,22.07,20.93,21.44,"57,894,352"
2024-05-13,20.60,21.19,20.60,20.94,"37,524,809"
2024-05-10,21.27,21.37,20.50,20.60,"59,845,406"
2024-05-09,21.49,21.58,20.94,21.14,"54,101,941"
2024-05-08,21.58,21.73,21.06,21.56,"67,582,883"
2024-05-07,21.99,22.70,21.35,21.40,"161,061,594"
2024-05-06,24.37,25.36,24.03,25.21,"175,936,609"
2024-05-03,23.48,23.64,22.91,23.33,"55,976,406"
2024-05-02,22.60,22.72,22.10,22.55,"30,396,131"
2024-05-01,21.93,22.83,21.63,22.12,"34,812,848"
2024-04-30,22.77,22.87,21.95,21.97,"30,511,881"
2024-04-29,22.75,23.09,22.55,22.83,"30,330,699"
2024-04-26,22.05,22.67,21.91,22.52,"33,119,770"
2024-04-25,20.82,21.74,20.66,21.71,"26,226,711"
2024-04-24,22.05,22.25,21.30,21.59,"34,426,480"
2024-04-23,21.25,22.06,21.23,21.64,"36,304,633"
2024-04-22,20.72,21.08,20.36,20.97,"31,894,520"
2024-04-19,20.98,21.43,20.33,20.47,"39,632,594"
2024-04-18,21.25,21.43,20.70,21.13,"34,550,539"
2024-04-17,22.01,22.11,21.22,21.31,"30,139,801"
2024-04-16,21.59,21.99,21.27,21.88,"33,869,199"
2024-04-15,22.79,23.13,21.83,21.90,"38,182,078"
2024-04-12,22.70,23.20,22.41,22.67,"36,764,461"
2024-04-11,22.65,22.91,22.25,22.84,"26,399,381"
2024-04-10,22.22,22.71,22.01,22.42,"28,642,930"
2024-04-09,23.01,23.09,22.46,22.81,"27,724,529"
2024-04-08,23.08,23.20,22.67,23.00,"25,022,711"
2024-04-05,22.42,23.32,22.31,22.96,"38,716,820"
2024-04-04,23.82,24.10,22.40,22.48,"64,995,301"
2024-04-03,22.44,23.01,22.38,22.70,"30,357,410"
2024-04-02,22.00,22.79,21.72,22.72,"39,770,566"
2024-04-01,22.98,23.21,22.40,22.86,"41,000,031"
2024-03-28,24.17,24.28,22.94,23.01,"70,008,172"
2024-03-27,25.00,25.48,24.26,24.51,"38,600,090"
2024-03-26,24.76,25.47,24.47,24.89,"43,610,461"
2024-03-25,24.12,24.62,24.05,24.51,"29,255,900"
2024-03-22,24.20,24.48,24.02,24.18,"25,453,029"
2024-03-21,25.30,25.33,24.44,24.49,"37,099,609"
2024-03-20,23.77,24.65,23.67,24.57,"40,273,770"
2024-03-19,23.50,23.83,22.92,23.80,"43,247,246"
2024-03-18,23.77,24.18,23.32,24.00,"44,083,039"
2024-03-15,23.85,24.10,23.42,23.49,"61,421,000"
2024-03-14,24.83,24.97,24.14,24.43,"49,214,781"
2024-03-13,24.70,25.44,24.60,25.00,"59,712,992"
2024-03-12,25.57,25.64,24.35,24.70,"75,202,609"
2024-03-11,25.89,26.83,25.29,25.35,"60,829,273"
2024-03-08,27.19,27.28,25.81,26.04,"84,256,117"
2024-03-07,27.01,27.50,26.38,26.46,"117,519,297"
2024-03-06,25.75,26.75,24.53,26.16,"207,386,891"
2024-03-05,23.96,24.41,23.43,23.81,"49,542,273"
2024-03-04,24.40,24.58,23.53,24.04,"64,320,031"
2024-03-01,25.30,25.69,24.54,24.93,"64,794,406"
2024-02-29,24.81,25.29,24.36,25.08,"62,753,301"
2024-02-28,24.52,24.84,24.25,24.42,"47,313,980"
2024-02-27,23.76,24.62,23.72,24.53,"64,967,422"
2024-02-26,23.03,23.88,22.94,23.56,"46,499,480"
2024-02-23,23.53,24.07,22.82,22.97,"48,840,770"
2024-02-22,23.77,23.95,23.05,23.59,"64,458,246"
2024-02-21,22.30,22.93,22.29,22.74,"60,411,461"
2024-02-20,23.84,24.00,22.72,23.40,"93,374,352"
2024-02-16,24.96,25.50,24.39,24.44,"65,498,230"
2024-02-15,25.04,25.46,24.71,25.41,"70,544,320"
2024-02-14,24.15,25.50,23.76,25.19,"97,227,930"
2024-02-13,23.53,24.66,23.31,24.01,"102,293,297"
2024-02-12,23.91,25.53,23.82,25.05,"108,173,000"
2024-02-09,25.04,25.11,23.57,24.38,"149,062,000"
